Account ID,Days Active,PS Rep Assigned (All Apps),NPS Guides Published (All Apps),Published Guides Count (All Apps),Guide Views (30 days) (All Apps),Visitors,Time on App (minutes),Quick Start End (All Apps)
Systum_Inc,4,Grace Wingo,0,0,6,3,31,2019-06-10 20:00:00
SKYGEN_USA,14,Grace Wingo,0,0,1360,5,431,2019-03-27 20:00:00
Vixxo,3,Grace Wingo,0,0,0,1,57,2019-08-19 20:00:00
Relias,12,Grace Wingo,0,0,7,8,698,2019-08-29 20:00:00
One_View,17,Grace Wingo,0,0,0,2,2103,2019-09-12 20:00:00
ITN_Holdings,21,Grace Wingo,0,0,612,2,2110,2019-08-14 20:00:00
Blue_Sombrero,11,Grace Wingo,0,0,0,5,87,2019-04-26 20:00:00
ZynBit,1,Grace Wingo,0,0,0,1,8,2019-06-17 20:00:00
Brightflag,6,Grace Wingo,0,0,0,3,69,2019-08-02 20:00:00
ET_Grow_Inc_,17,Grace Wingo,0,0,0,3,1423,2019-08-09 20:00:00
ThoughtWire,20,Grace Wingo,0,0,0,6,581,2019-03-13 20:00:00
ICANotes,11,Grace Wingo,0,0,8,3,73,2019-04-12 20:00:00
CIMcloud,5,Grace Wingo,0,1,686,3,363,2019-05-10 20:00:00
vPlaybook,3,Grace Wingo,0,1,0,2,72,2019-02-06 19:00:00
Dharma_ai,14,Grace Wingo,0,1,199,4,213,
DialogTech1,12,Grace Wingo,0,1,2,5,272,
Black_Swan_Data,22,Grace Wingo,0,1,16,11,809,2019-07-12 20:00:00
iGrafx,16,Grace Wingo,0,1,0,9,176,2019-03-26 20:00:00
Panzura,15,Grace Wingo,0,1,2,5,963,2019-05-14 20:00:00
Costello,11,Grace Wingo,1,2,523,2,67,2018-11-16 19:00:00
EFT_Analytics1,16,Grace Wingo,0,2,60,3,677,2019-05-28 20:00:00
Joule_Inc,13,Grace Wingo,0,2,13128,3,124,2019-06-20 20:00:00
SitePro,15,Grace Wingo,2,2,320,6,188,
Universal_Promote,9,Grace Wingo,1,2,320,5,150,2019-08-23 20:00:00
ResMan,11,Grace Wingo,1,2,6160,5,378,2018-11-09 19:00:00
Legwork,15,Grace Wingo,0,3,2966,4,245,2019-06-07 20:00:00
Pantheon2,11,Grace Wingo,0,3,138,6,128,
Humi,22,Grace Wingo,1,3,3134,9,283,
Workable,10,Grace Wingo,0,3,2144,3,170,2018-11-02 20:00:00
Hive,22,Grace Wingo,0,4,361,5,465,2019-06-28 20:00:00
SCOIR1,19,Grace Wingo,0,4,4971,8,845,2019-03-01 19:00:00
Recruiterbox2,15,Grace Wingo,0,4,19792,6,262,2019-01-28 19:00:00
EverlyWell,23,Grace Wingo,1,4,9016,7,291,
Simpli_fi,16,Grace Wingo,0,4,559,2,297,2018-11-16 19:00:00
Kreo_Software,22,Grace Wingo,1,4,212,12,1466,2019-03-22 20:00:00
YouEarnedit,18,Grace Wingo,0,5,9326,3,641,2019-04-05 20:00:00
KeepTruckin,22,Grace Wingo,0,5,452852,25,835,
Qubole,17,Grace Wingo,0,5,9498,9,394,2019-04-04 20:00:00
EROAD,26,Grace Wingo,0,5,4637,39,1761,2019-03-20 20:00:00
Pixalate,16,Grace Wingo,1,5,107,7,155,2018-11-02 20:00:00
Stratasan,14,Grace Wingo,2,6,161,8,169,2019-02-06 19:00:00
Arrive_Logistics,18,Grace Wingo,0,6,6270,6,795,2019-05-10 20:00:00
TalentSky__Inc_,5,Grace Wingo,1,7,71,2,135,2019-05-28 20:00:00
Terminus_LLC,15,Grace Wingo,1,8,608,14,168,2018-11-16 19:00:00
MoxiWorks,14,Grace Wingo,0,8,13618,5,411,
Factual,22,Grace Wingo,0,8,844,6,479,2018-10-26 20:00:00
Upchain,9,Grace Wingo,1,9,1669,8,141,2019-03-18 20:00:00
ATSI,19,Grace Wingo,1,10,27835,7,666,2018-10-05 20:00:00
RVshare,3,Grace Wingo,0,10,7113,1,77,2018-12-20 19:00:00
Divvy_Pay,21,Grace Wingo,1,10,5457,18,580,
Credly2,17,Grace Wingo,0,11,38486,7,871,2019-04-12 20:00:00
boodleAI1,6,Grace Wingo,0,11,183,4,79,2019-03-29 20:00:00
Edulastic,22,Grace Wingo,0,12,66747,3,3155,2019-08-29 20:00:00
TSIA,15,Grace Wingo,1,13,3255,4,216,2018-09-18 20:00:00
ParishSOFT,17,Grace Wingo,0,13,10881,6,972,
Onit,22,Grace Wingo,0,13,222,11,1585,2019-09-20 20:00:00
Project_Manager,23,Grace Wingo,0,15,21419,14,1696,2019-06-28 20:00:00
Adthena1,28,Grace Wingo,1,16,1343,25,1518,
Splash1,14,Grace Wingo,0,16,46283,5,482,2018-10-05 20:00:00
Monetate2,22,Grace Wingo,0,17,4447,17,2043,2019-04-05 20:00:00
Pulse247,20,Grace Wingo,2,19,30679,5,1453,2019-02-22 19:00:00
LogicManager,15,Grace Wingo,0,19,3681,12,590,2019-03-05 19:00:00
Guru2,20,Grace Wingo,0,19,360063,23,1919,2019-03-29 20:00:00
ChefHero,15,Grace Wingo,0,21,4174,5,1035,2018-10-26 20:00:00
Bonfire_Interactive,17,Grace Wingo,0,21,6077,13,708,2019-02-22 19:00:00
Aginity,28,Grace Wingo,0,22,13007,13,1836,2019-04-01 20:00:00
SevenGeese,19,Grace Wingo,0,24,24387,9,591,
Topbox,16,Grace Wingo,0,24,1475,4,296,2018-10-12 20:00:00
Panaseer,20,Grace Wingo,1,27,933,11,1749,2019-03-26 20:00:00
Jumpshot,16,Grace Wingo,0,29,2124,8,321,
TUNE,22,Grace Wingo,1,32,34649,20,899,2019-03-08 19:00:00
Zentail,20,Grace Wingo,1,40,1720,10,1067,2019-05-10 20:00:00
Venga,18,Grace Wingo,3,45,5958,6,1072,2019-03-22 20:00:00
intelliHR,23,Grace Wingo,1,46,3618,16,784,
ATP_CaseBank,20,Grace Wingo,1,50,21969,7,1011,2019-06-07 20:00:00
Healthicity,21,Grace Wingo,2,66,40549,14,2340,2019-02-22 19:00:00
Insite,16,Grace Wingo,0,71,6386,3,1555,2019-03-22 20:00:00
Elastic_Path1,11,Grace Wingo,0,73,3240,6,1245,2019-07-03 20:00:00
Broker_Genius,22,Grace Wingo,1,104,2882,14,434,2019-03-11 20:00:00
Springbot,19,Grace Wingo,1,239,14564,9,1801,2019-03-11 20:00:00
